,Unnamed: 0,Volume,Last,Chg,% Chg
0,Firefly Neuroscience Inc. (AIFF),94.6M,12.97,4.57,54.4
1,Yoshiharu Global Co. (YOSH),994.1K,13.45,4.65,52.84
2,Cloudastructure Inc. Cl A (CSAI),1.9M,17.63,4.73,36.67
3,Lightbridge Corp. (LTBR),7.9M,14.6,3.76,34.69
4,Upstart Holdings Inc. (UPST),35.3M,88.77,21.43,31.82
5,AnaptysBio Inc. (ANAB),13.8M,16.15,3.77,30.51
6,Quantum Corp. (QMCO),4.3M,23.23,5.42,30.43
7,INLIF Ltd. (INLF),774.0K,5.99,1.36,29.37
8,NextTrip Inc. (NTRP),53.6K,6.21,1.26,25.45
9,Confluent Inc. (CFLT),22.9M,37.65,7.55,25.08
10,BigBear.ai Inc. (BBAI),153.7M,9.74,1.74,21.75
11,Rapid Micro Biosystems Inc. (RPID),617.1K,3.26,0.58,21.64
12,EHang Holdings Ltd. ADR (EH),8.0M,25.14,4.43,21.39
13,Genasys Inc. (GNSS),819.9K,3.53,0.62,21.31
14,Intelligent Bio Solutions Inc. (INBS),891.1K,2.49,0.41,19.71
15,GRAIL Inc. (GRAL),1.8M,39.26,6.11,18.43
16,ALT5 Sigma Corp. (ALTS),163.4K,6.12,0.95,18.38
17,Titan Pharmaceuticals Inc. (TTNP),276.7K,4.14,0.62,17.61
18,Jiuzi Holdings Inc. (JZXN),106.6K,4.4,0.64,17.02
19,Gorilla Technology Group Inc. (GRRR),3.6M,24.2,3.43,16.51
20,iBio Inc. (IBIO),259.1K,3.68,0.51,16.09
21,Arcutis Biotherapeutics Inc. (ARQT),7.5M,13.21,1.81,15.88
22,CEA Industries Inc. (CEAD),141.8K,8.65,1.16,15.49
23,SCHMID Group N.V. (SHMD),111.0K,2.99,0.4,15.44
24,Sezzle Inc. (SEZL),217.5K,305.32,40.67,15.37
25,Diginex Ltd. (DGNX),124.8K,47.6,6.26,15.14
26,CVS Health Corp. (CVS),36.6M,63.22,8.22,14.95
27,ATAI Life Sciences N.V. (ATAI),6.2M,2.55,0.32,14.35
28,Aquestive Therapeutics Inc. (AQST),11.4M,3.39,0.42,14.14
29,Electromed Inc. (ELMD),204.9K,33.28,4.08,13.97
30,Redwire Corp. (RDW),2.7M,24.99,3.06,13.95
31,Pony AI Inc. ADR (PONY),2.3M,16.0,1.91,13.56
32,VNET Group Inc. ADR (VNET),15.3M,11.31,1.34,13.44
33,D-Wave Quantum Inc. (QBTS),63.7M,6.04,0.71,13.32
34,Cumberland Pharmaceuticals Inc. (CPIX),264.3K,5.2,0.6,13.04
35,Motorcar Parts of America Inc. (MPAA),319.7K,7.65,0.86,12.67
36,Digital Turbine Inc. (APPS),12.7M,6.14,0.69,12.66
37,MultiPlan Corp. (MPLN),227.6K,27.03,3.03,12.62
38,Hycroft Mining Holding Corp. (HYMC),483.8K,2.93,0.32,12.26
39,Prime Medicine Inc. (PRME),1.3M,2.55,0.27,11.84
40,Aclarion Inc. (ACON),707.3K,4.68,0.49,11.69
41,UP Fintech Holding Ltd. ADR (TIGR),16.6M,8.32,0.87,11.68
42,Pitney Bowes Inc. (PBI),9.2M,9.76,1.02,11.67
43,Capricor Therapeutics Inc. (CAPR),1.0M,15.05,1.57,11.65
44,WORK Medical Technology Group Ltd. (WOK),59.6K,2.42,0.25,11.52
45,SpartanNash Co. (SPTN),600.0K,20.97,2.14,11.36
46,INmune Bio Inc. (INMB),995.8K,9.13,0.88,10.67
47,iQIYI Inc. ADR (IQ),52.8M,2.53,0.24,10.48
48,BlackBerry Ltd. (BB),35.8M,5.82,0.55,10.44
49,BriaCell Therapeutics Corp. (BCTX),257.5K,3.78,0.35,10.2
50,BioXcel Therapeutics Inc. (BTAI),158.8K,2.81,0.26,10.2
51,Energy Services of America Corp. (ESOA),565.0K,11.03,1.02,10.19
52,8X8 Inc. (EGHT),2.0M,3.27,0.3,10.1
53,Mineralys Therapeutics Inc. (MLYS),395.6K,10.63,0.97,10.04
54,Creative Realities Inc. (CREX),85.9K,2.64,0.24,10.0
55,Revelation Biosciences Inc. (REVB),86.5K,4.25,0.38,9.82
56,Calumet Inc. (CLMT),3.6M,17.41,1.53,9.63
57,enVVeno Medical Corp. (NVNO),128.1K,3.32,0.29,9.57
58,Lucky Strike Entertainment Corp. (LUCK),1.6M,12.91,1.12,9.5
59,zSpace Inc. (ZSPC),87.8K,20.81,1.8,9.47
60,Chefs' Warehouse Inc. (CHEF),2.3M,59.61,5.13,9.42
61,Futu Holdings Ltd. ADR (FUTU),4.5M,115.81,9.93,9.38
62,CRISPR Therapeutics AG (CRSP),4.2M,43.3,3.68,9.29
63,Mercury General Corp. (MCY),3.1M,54.74,4.65,9.28
64,Third Harmonic Bio Inc. (THRD),2.5M,3.55,0.3,9.23
65,Sensata Technologies Holding PLC (ST),4.6M,28.01,2.33,9.07
66,Nuvectis Pharma Inc. (NVCT),112.4K,6.86,0.57,9.06
67,Recursion Pharmaceuticals Inc. (RXRX),36.0M,8.34,0.68,8.88
68,Redfin Corp. (RDFN),11.2M,8.64,0.69,8.68
69,Sow Good Inc. (SOWG),116.9K,2.96,0.23,8.61
70,GlobalFoundries Inc. (GFS),5.0M,43.55,3.45,8.6
71,Oklo Inc. (OKLO),18.8M,54.38,4.3,8.59
72,Baozun Inc. ADR (BZUN),1.5M,3.72,0.29,8.45
73,Kanzhun Ltd. ADR (BZ),5.5M,15.94,1.24,8.44
74,Datasea Inc. (DTSS),121.1K,2.34,0.18,8.15
75,TSS Inc. (TSSI),980.3K,14.76,1.11,8.13
76,Oruka Therapeutics Inc. (ORKA),256.7K,11.87,0.89,8.11
77,Zymeworks Inc. (ZYME),724.1K,14.3,1.05,7.92
78,Viant Technology Inc. (DSP),435.2K,25.95,1.9,7.9
79,Monarch Casino & Resort Inc. (MCRI),230.5K,92.57,6.76,7.88
80,Prairie Operating Co. (PROP),1.5M,9.5,0.69,7.83
81,PicoCELA Inc. ADR (PCLA),1.3M,8.42,0.61,7.81
82,Agenus Inc. (AGEN),292.6K,3.46,0.25,7.79
83,Silvercorp Metals Inc. (SVM),7.2M,3.47,0.25,7.76
84,American Well Corp. (AMWL),210.1K,12.35,0.88,7.67
85,Generac Holdings Inc. (GNRC),2.8M,152.45,10.71,7.56
86,Hawaiian Electric Industries Inc. (HE),6.4M,10.85,0.76,7.53
87,SpringWorks Therapeutics Inc. (SWTX),4.3M,59.28,4.15,7.53
88,Nano Nuclear Energy Inc. (NNE),5.6M,34.62,2.42,7.52
89,Kaspi.kz JSC ADR (KSPI),379.2K,102.62,7.13,7.47
90,Bullfrog AI Holdings Inc. (BFRG),1.6M,3.24,0.23,7.46
91,Gilead Sciences Inc. (GILD),16.2M,103.31,7.17,7.46
92,Replimune Group Inc. (REPL),930.3K,13.79,0.94,7.32
93,Inseego Corp. (INSG),151.0K,13.62,0.92,7.24
94,Galapagos N.V. ADR (GLPG),616.5K,24.97,1.68,7.21
95,Intel Corp. (INTC),162.6M,22.48,1.51,7.2
96,IRSA-Inversiones y Representaciones S.A. GDR (IRS),261.2K,13.97,0.92,7.05
97,Checkpoint Therapeutics Inc. (CKPT),792.0K,3.35,0.22,7.03
98,Jiayin Group Inc. ADR (JFIN),244.1K,9.93,0.65,7.0
99,Coffee Holding Co. Inc. (JVA),134.5K,5.35,0.35,7.0
